t,x,y,z
25.44,-10.7491,-5.11113,35.4032
25.45,-10.1731,-4.31176,34.9573
25.46,-9.58065,-3.61049,34.4229
25.47,-8.98262,-3.00856,33.8196
25.48,-8.38893,-2.50343,33.1653
25.49,-7.80814,-2.0897,32.4755
25.5,-7.24738,-1.76005,31.7635
25.51,-6.71234,-1.50607,31.0398
25.52,-6.20735,-1.31888,30.3127
25.53,-5.73547,-1.1897,29.5886
25.54,-5.29868,-1.11017,28.8724
25.55,-4.89797,-1.07262,28.1674
25.56,-4.53356,-1.07018,27.4759
25.57,-4.20506,-1.0969,26.7994
25.58,-3.91157,-1.14766,26.1391
25.59,-3.65182,-1.21825,25.4953
25.6,-3.42432,-1.30521,24.8683
25.61,-3.22743,-1.40583,24.2583
25.62,-3.05942,-1.51802,23.6653
25.63,-2.91858,-1.64029,23.0891
25.64,-2.80322,-1.77161,22.5296
25.65,-2.71175,-1.91142,21.9868
25.66,-2.64268,-2.0595,21.4606
25.67,-2.59469,-2.21594,20.9511
25.68,-2.56656,-2.38114,20.4582
25.69,-2.55729,-2.55569,19.9823
25.7,-2.56598,-2.7404,19.5233
25.71,-2.59196,-2.93625,19.0818
25.72,-2.63469,-3.14439,18.658
25.73,-2.69381,-3.36608,18.2526
25.74,-2.76911,-3.6027,17.8661
25.75,-2.86054,-3.85577,17.4995
25.76,-2.96821,-4.12687,17.1538
25.77,-3.09238,-4.41768,16.8301
25.78,-3.23343,-4.72994,16.5299
25.79,-3.39188,-5.06544,16.255
25.8,-3.56837,-5.42599,16.0074
25.81,-3.76367,-5.8134,15.7894
25.82,-3.97862,-6.22943,15.6039
25.83,-4.21415,-6.67573,15.454
25.84,-4.47127,-7.15378,15.3436
25.85,-4.751,-7.66481,15.277
25.86,-5.05437,-8.20963,15.2589
25.87,-5.38237,-8.78858,15.295
25.88,-5.73589,-9.40126,15.3914
25.89,-6.11565,-10.0464,15.555
25.9,-6.52214,-10.7215,15.7932
25.91,-6.95549,-11.4227,16.114
25.92,-7.41538,-12.1443,16.5256
25.93,-7.90085,-12.8786,17.0364
25.94,-8.4102,-13.6153,17.6546
25.95,-8.94081,-14.3416,18.3872
25.96,-9.48891,-15.0416,19.24
25.97,-10.0494,-15.6964,20.2163
25.98,-10.6159,-16.2845,21.3159
25.99,-11.1802,-16.7816,22.5345
26,-11.7327,-17.1623,23.8622
26.01,-12.2621,-17.4008,25.2825
26.02,-12.756,-17.4731,26.7723
26.03,-13.2009,-17.3586,28.3012
26.04,-13.5829,-17.0428,29.8327
26.05,-13.8885,-16.5193,31.3256
26.06,-14.1052,-15.7916,32.7359
26.07,-14.2228,-14.8741,34.0206
26.08,-14.2336,-13.7916,35.1404
26.09,-14.1337,-12.5783,36.0633
26.1,-13.9232,-11.2752,36.7669
26.11,-13.6061,-9.92653,37.2403
26.12,-13.1905,-8.5765,37.484
26.13,-12.6876,-7.26569,37.509
26.14,-12.1111,-6.0285,37.3349
26.15,-11.4763,-4.89142,36.9873
26.16,-10.7994,-3.87241,36.4948
26.17,-10.0961,-2.98112,35.887
26.18,-9.38117,-2.21995,35.1918
26.19,-8.66801,-1.58538,34.4345
26.2,-7.96816,-1.06957,33.6367
26.21,-7.29114,-0.661802,32.8162
26.22,-6.64447,-0.349781,31.987
26.23,-6.03376,-0.120696,31.1597
26.24,-5.46287,0.0380227,30.3419
26.25,-4.93413,0.138177,29.5387
26.26,-4.44856,0.190472,28.7537
26.27,-4.00616,0.204358,27.9887
26.28,-3.60606,0.187981,27.2448
26.29,-3.24677,0.148218,26.5221
26.3,-2.92635,0.0907589,25.8205
26.31,-2.64256,0.0202155,25.1395
26.32,-2.39297,-0.0597515,24.4784
26.33,-2.17508,-0.14631,23.8366
26.34,-1.98639,-0.237338,23.2133
26.35,-1.82448,-0.33131,22.6078
26.36,-1.68701,-0.427204,22.0194
26.37,-1.57182,-0.52441,21.4476
26.38,-1.47689,-0.622658,20.8919
26.39,-1.40039,-0.721958,20.3516
26.4,-1.34068,-0.822544,19.8265
26.41,-1.29631,-0.924834,19.3162
26.42,-1.266,-1.0294,18.8202
26.43,-1.24866,-1.13693,18.3384
26.44,-1.24338,-1.24822,17.8705
26.45,-1.24941,-1.36417,17.4163
26.46,-1.26616,-1.48574,16.9757
26.47,-1.2932,-1.61399,16.5485
26.48,-1.33024,-1.75003,16.1348
26.49,-1.37713,-1.89507,15.7346
26.5,-1.43385,-2.05039,15.3479
26.51,-1.5005,-2.21736,14.9749
26.52,-1.57732,-2.39743,14.6159
26.53,-1.66466,-2.59217,14.2711
26.54,-1.763,-2.80324,13.9412
26.55,-1.87292,-3.03243,13.6267
26.56,-1.99515,-3.28165,13.3283
26.57,-2.13052,-3.55294,13.0471
26.58,-2.27998,-3.84849,12.7843
26.59,-2.4446,-4.1706,12.5413
26.6,-2.6256,-4.52172,12.32
26.61,-2.82429,-4.90443,12.1225
26.62,-3.04213,-5.32139,11.9515
26.63,-3.28068,-5.77535,11.81
26.64,-3.54164,-6.26909,11.7019
26.65,-3.82678,-6.8053,11.6316
26.66,-4.13798,-7.38657,11.6043
26.67,-4.47715,-8.01517,11.6262
26.68,-4.84622,-8.69293,11.7045
26.69,-5.2471,-9.42097,11.8475
26.7,-5.68156,-10.1994,12.0647
26.71,-6.15115,-11.027,12.3668
26.72,-6.65707,-11.9007,12.7659
26.73,-7.2,-12.815,13.275
26.74,-7.77991,-13.7614,13.908
26.75,-8.39578,-14.7277,14.6792
26.76,-9.0453,-15.6973,15.6026
26.77,-9.72458,-16.6484,16.6906
26.78,-10.4278,-17.5539,17.953
26.79,-11.1467,-18.3808,19.3948
26.8,-11.8705,-19.0912,21.0144
26.81,-12.5858,-19.643,22.8012
26.82,-13.276,-19.9923,24.7335
26.83,-13.9223,-20.097,26.7768
26.84,-14.5037,-19.9202,28.8832
26.85,-14.9982,-19.4359,30.9928
26.86,-15.3842,-18.6331,33.0361
26.87,-15.6419,-17.5198,34.9392
26.88,-15.7552,-16.1249,36.6307
26.89,-15.7132,-14.4971,38.0481
26.9,-15.5117,-12.701,39.1451
26.91,-15.1532,-10.8113,39.8957
26.92,-14.6476,-8.90484,40.2962
26.93,-14.0109,-7.05329,40.3642
26.94,-13.2637,-5.31684,40.1337
26.95,-12.4298,-3.74044,39.6507
26.96,-11.5342,-2.35244,38.9663
26.97,-10.6014,-1.16545,38.1318
26.98,-9.65417,-0.178782,37.1944
26.99,-8.71246,0.618344,36.1949
27,-7.793,1.24345,35.1659
27.01,-6.90901,1.71781,34.1327
27.02,-6.07039,2.06408,33.1131
27.03,-5.2839,2.30453,32.1192
27.04,-4.55366,2.45989,31.1583
27.05,-3.88147,2.54876,30.2341
27.06,-3.26735,2.58732,29.348
27.07,-2.70986,2.58928,28.4995
27.08,-2.20655,2.56605,27.6871
27.09,-1.75417,2.52694,26.9089
27.1,-1.34903,2.47945,26.1626
27.11,-0.987118,2.42952,25.4459
27.12,-0.664324,2.38179,24.7568
27.13,-0.376536,2.33983,24.0933
27.14,-0.119735,2.30636,23.4537
27.15,0.109937,2.2834,22.8365
27.16,0.316139,2.27247,22.2404
27.17,0.502308,2.27468,21.6643
27.18,0.67164,2.29086,21.1075
27.19,0.8271,2.32164,20.5692
27.2,0.971421,2.36751,20.0487
27.21,1.10712,2.42891,19.5458
27.22,1.23652,2.50627,19.06
27.23,1.36176,2.60003,18.5912
27.24,1.48481,2.7107,18.1393
27.25,1.60753,2.83885,17.7043
27.26,1.73163,2.98518,17.2864
27.27,1.85877,3.15048,16.8858
27.28,1.99049,3.33568,16.5031
27.29,2.1283,3.54183,16.1387
27.3,2.27368,3.77015,15.7934
27.31,2.42808,4.02198,15.4682
27.32,2.59294,4.29879,15.1642
27.33,2.76973,4.60221,14.8829
27.34,2.95993,4.93396,14.626
27.35,3.16505,5.29588,14.3957
27.36,3.38662,5.68985,14.1944
27.37,3.62623,6.11781,14.0251
27.38,3.88548,6.58164,13.8913
27.39,4.166,7.08312,13.7972
27.4,4.46944,7.62384,13.7474
27.41,4.79741,8.20501,13.7474
27.42,5.15147,8.82739,13.8037
27.43,5.53305,9.49097,13.9232
27.44,5.94344,10.1948,14.1142
27.45,6.38361,10.9367,14.3854
27.46,6.85417,11.7127,14.7466
27.47,7.35523,12.5169,15.2081
27.48,7.88617,13.3408,15.7804
27.49,8.44549,14.173,16.474
27.5,9.03059,14.9986,17.2987
27.51,9.63752,15.7989,18.2627
27.52,10.2607,16.5513,19.3712
27.53,10.8929,17.2292,20.6258
27.54,11.5245,17.8028,22.0223
27.55,12.1444,18.24,23.5496
27.56,12.7389,18.5082,25.1886
27.57,13.2929,18.5764,26.9106
27.58,13.7899,18.4187,28.678
27.59,14.2129,18.0167,30.4444
27.6,14.5453,17.3632,32.1574
27.61,14.7719,16.4644,33.7618
27.62,14.8802,15.341,35.2037
27.63,14.8619,14.0275,36.4354
27.64,14.7129,12.5702,37.4197
27.65,14.4347,11.0231,38.1333
27.66,14.0336,9.44327,38.5682
27.67,13.5211,7.88552,38.7315
27.68,12.9121,6.39821,38.6435
27.69,12.2246,5.02005,38.334
27.7,11.4777,3.77845,37.8389
27.71,10.6911,2.68944,37.1959
27.72,9.8834,1.7587,36.442
27.73,9.07152,0.983406,35.6104
27.74,8.2703,0.354371,34.7299
27.75,7.492,-0.141811,33.8237
27.76,6.74635,-0.52088,32.9099
27.77,6.04058,-0.799404,32.0019
27.78,5.37966,-0.993661,31.1091
27.79,4.76661,-1.1189,30.2374
27.8,4.20276,-1.1889,29.3906
27.81,3.68808,-1.21575,28.5703
27.82,3.22148,-1.20983,27.7772
27.83,2.80108,-1.17984,27.0107
27.84,2.4244,-1.13297,26.2701
27.85,2.08861,-1.07503,25.5543
27.86,1.79063,-1.01067,24.8619
27.87,1.52729,-0.943489,24.1917
27.88,1.29542,-0.876266,23.5425
27.89,1.09194,-0.811062,22.913
27.9,0.91386,-0.749367,22.3024
27.91,0.758387,-0.692217,21.7096
27.92,0.6229,-0.640285,21.1338
27.93,0.504979,-0.593966,20.5742
27.94,0.402407,-0.553442,20.0303
27.95,0.313171,-0.518745,19.5013
27.96,0.235449,-0.489797,18.9868
27.97,0.167606,-0.466449,18.4862
27.98,0.108178,-0.44851,17.9992
27.99,0.0558593,-0.435771,17.5252
28,0.00948827,-0.428024,17.0639
28.01,-0.0319663,-0.425074,16.6149
28.02,-0.0694202,-0.42675,16.1779
28.03,-0.103688,-0.432913,15.7526
28.04,-0.135493,-0.443464,15.3386
28.05,-0.165486,-0.458343,14.9356
28.06,-0.194249,-0.47754,14.5434
28.07,-0.222312,-0.501092,14.1617
28.08,-0.25016,-0.529085,13.7903
28.09,-0.278242,-0.56166,13.4288
28.1,-0.306981,-0.599013,13.0771
28.11,-0.33678,-0.641395,12.735
28.12,-0.368033,-0.689118,12.4022
28.13,-0.401126,-0.742559,12.0785
28.14,-0.43645,-0.802156,11.7639
28.15,-0.474402,-0.868423,11.4581
28.16,-0.515395,-0.941947,11.161
28.17,-0.559861,-1.0234,10.8725
28.18,-0.60826,-1.11353,10.5926
28.19,-0.661084,-1.21319,10.3211
28.2,-0.718865,-1.32334,10.0582
28.21,-0.782181,-1.44506,9.80373
28.22,-0.85166,-1.57952,9.55794
28.23,-0.927993,-1.72806,9.32094
28.24,-1.01194,-1.89216,9.09299
28.25,-1.10433,-2.07344,8.87441
28.26,-1.20608,-2.27374,8.66565
28.27,-1.31821,-2.49505,8.46731
28.28,-1.44184,-2.73958,8.28012
28.29,-1.57819,-3.00976,8.10506
28.3,-1.72863,-3.30827,7.9433
28.31,-1.89464,-3.63802,7.79634
28.32,-2.07788,-4.00219,7.66603
28.33,-2.28013,-4.4042,7.55465
28.34,-2.50337,-4.84773,7.46499
28.35,-2.74975,-5.33672,7.40049
28.36,-3.02157,-5.87527,7.36532
28.37,-3.32135,-6.46763,7.36458
28.38,-3.65174,-7.11808,7.40442
28.39,-4.01558,-7.83082,7.49225
28.4,-4.41578,-8.60968,7.63697
28.41,-4.85536,-9.45795,7.84915
28.42,-5.33728,-10.3779,8.14129
28.43,-5.86438,-11.3701,8.52797
28.44,-6.43921,-12.4333,9.02603
28.45,-7.06377,-13.5629,9.65452
28.46,-7.73926,-14.7501,10.4346
28.47,-8.46571,-15.9811,11.3889
28.48,-9.24146,-17.2348,12.5407
28.49,-10.0627,-18.4825,13.9127
28.5,-10.9227,-19.6859,15.5241
28.51,-11.8113,-20.7964,17.3882
28.52,-12.7142,-21.7557,19.5083
28.53,-13.6125,-22.4973,21.8733
28.54,-14.4824,-22.9498,24.453
28.55,-15.2958,-23.0433,27.1949
28.56,-16.0209,-22.7176,30.0224
28.57,-16.6238,-21.9314,32.8366
28.58,-17.0717,-20.6724,35.5228
28.59,-17.3351,-18.9636,37.9606
28.6,-17.3913,-16.8663,40.0385
28.61,-17.2276,-14.4755,41.6672
28.62,-16.8425,-11.9099,42.7921
28.63,-16.2466,-9.29717,43.3989
28.64,-15.4614,-6.75826,43.5128
28.65,-14.5171,-4.39446,43.1916
28.66,-13.4493,-2.2789,42.5137
28.67,-12.2957,-0.454071,41.5666
28.68,-11.0929,1.06588,40.4357
28.69,-9.87434,2.28953,39.1966
28.7,-8.66872,3.24139,37.9111
28.71,-7.49906,3.95525,36.6258
28.72,-6.38276,4.46872,35.3732
28.73,-5.332,4.81927,34.1739
28.74,-4.35433,5.0417,33.0391
28.75,-3.45347,5.16679,31.9733
28.76,-2.63006,5.22079,30.9764
28.77,-1.88241,5.22548,30.0453
28.78,-1.20712,5.19854,29.1756
28.79,-0.599598,5.15404,28.362
28.8,-0.0545203,5.10303,27.5994
28.81,0.43387,5.05402,26.8829
28.82,0.871486,5.01351,26.2082
28.83,1.26422,4.98637,25.5714
28.84,1.61779,4.97621,24.9695
28.85,1.93768,4.98564,24.4
28.86,2.22905,5.01653,23.8608
28.87,2.49672,5.0702,23.3506
28.88,2.74517,5.14754,22.8684
28.89,2.97851,5.24916,22.4135
28.9,3.2005,5.37545,21.9857
28.91,3.41459,5.5267,21.5851
28.92,3.62391,5.70306,21.2121
28.93,3.83132,5.90464,20.8674
28.94,4.0394,6.13153,20.552
28.95,4.25049,6.38372,20.2671
28.96,4.46672,6.6612,20.0143
28.97,4.68999,6.96384,19.7954
28.98,4.92202,7.29142,19.6125
28.99,5.16434,7.64352,19.468
29,5.41827,8.01954,19.3646
29.01,5.68494,8.41854,19.3053
29.02,5.96526,8.83923,19.2933
29.03,6.25992,9.27983,19.3321
29.04,6.56933,9.73794,19.4253
29.05,6.89363,10.2105,19.5768
29.06,7.23257,10.6936,19.7902
29.07,7.58556,11.1824,20.0693
29.08,7.9515,11.671,20.4174
29.09,8.32883,12.1523,20.8372
29.1,8.71538,12.6181,21.3309
29.11,9.10834,13.0591,21.8991
29.12,9.50425,13.4647,22.5414
29.13,9.89891,13.8235,23.2552
29.14,10.2874,14.1235,24.0359
29.15,10.6642,14.3526,24.8763
29.16,11.0229,14.4989,25.7665
29.17,11.357,14.5517,26.6938
29.18,11.6595,14.5019,27.6425
29.19,11.9232,14.3434,28.5949
29.2,12.1413,14.0728,29.531
29.21,12.3075,13.6911,30.4301
29.22,12.4164,13.2032,31.2713
29.23,12.4637,12.6185,32.0347
29.24,12.4467,11.9501,32.7028
29.25,12.3643,11.2148,33.2612
29.26,12.2173,10.4315,33.6994
29.27,12.0083,9.6204,34.0115
29.28,11.7415,8.80197,34.1962
29.29,11.4225,7.99546,34.2563
29.3,11.0585,7.21813,34.1985
29.31,10.6572,6.48449,34.0325
29.32,10.2268,5.8059,33.7698
29.33,9.77579,5.1904,33.4233
29.34,9.3124,4.64287,33.0064
29.35,8.84438,4.16535,32.5319
29.36,8.37883,3.75744,32.012
29.37,7.92205,3.41684,31.4577
29.38,7.47944,3.13984,30.8786
29.39,7.05547,2.92177,30.2831
29.4,6.65375,2.75746,29.6779
29.41,6.277,2.64154,29.0689
29.42,5.92719,2.56871,28.4606
29.43,5.60563,2.53395,27.8566
29.44,5.31301,2.53265,27.2598
29.45,5.04956,2.56066,26.6725
29.46,4.81512,2.61439,26.0964
29.47,4.60922,2.69076,25.5329
29.48,4.43117,2.78724,24.983
29.49,4.28013,2.90179,24.4477
29.5,4.15518,3.03284,23.9278
29.51,4.05534,3.17924,23.4238
29.52,3.97964,3.34022,22.9366
29.53,3.92715,3.51535,22.4666
29.54,3.897,3.70452,22.0147
29.55,3.88841,3.90784,21.5815
29.56,3.90068,4.12566,21.1679
29.57,3.93323,4.35853,20.7747
29.58,3.9856,4.60712,20.4031
29.59,4.05744,4.87223,20.0542
29.6,4.1485,5.15477,19.7294
29.61,4.25867,5.45567,19.4302
29.62,4.38791,5.77589,19.1584
29.63,4.5363,6.11637,18.916
29.64,4.70398,6.47798,18.7053
29.65,4.89118,6.86148,18.5288
29.66,5.09813,7.26741,18.3893
29.67,5.32513,7.69611,18.2901
29.68,5.57241,8.14754,18.2347
29.69,5.84021,8.62124,18.227
29.7,6.12864,9.1162,18.2711
29.71,6.43769,9.63073,18.3715
29.72,6.76714,10.1623,18.5329
29.73,7.11651,10.7075,18.7601
29.74,7.48499,11.2615,19.0579
29.75,7.87133,11.8187,19.431
29.76,8.27377,12.3715,19.8834
29.77,8.68997,12.9111,20.4187
29.78,9.11686,13.4271,21.0389
29.79,9.55061,13.9076,21.7447
29.8,9.98655,14.3392,22.5348
29.81,10.4191,14.7075,23.405
29.82,10.8419,14.9975,24.3484
29.83,11.2477,15.1944,25.3544
29.84,11.6285,15.2844,26.4089
29.85,11.976,15.2552,27.4941
29.86,12.2815,15.098,28.5889
29.87,12.5365,14.8077,29.6696
29.88,12.7332,14.3841,30.7107
29.89,12.8646,13.8324,31.6863
29.9,12.9252,13.1635,32.5718
29.91,12.9114,12.3935,33.3452
29.92,12.8215,11.5428,33.9885
29.93,12.6563,10.6353,34.4891
29.94,12.4187,9.69614,34.8398
29.95,12.1138,8.75081,35.0398
29.96,11.7487,7.82309,35.0935
29.97,11.3317,6.93398,35.0101
29.98,10.8724,6.10074,34.8025
29.99,10.3808,5.33639,34.486
30,9.86686,4.64964,34.0768
30.01,9.34048,4.04515,33.5915
30.02,8.81069,3.52403,33.046
30.03,8.2857,3.08449,32.4546
30.04,7.77264,2.72252,31.8301
30.05,7.27749,2.43259,31.1835
30.06,6.80509,2.20825,30.5238
30.07,6.35919,2.04261,29.8583
30.08,5.94252,1.92878,29.1929
30.09,5.55691,1.86013,28.5319
30.1,5.2034,1.83051,27.8789
30.11,4.88237,1.83439,27.2362
30.12,4.59368,1.8669,26.6059
30.13,4.33677,1.92386,25.9891
30.14,4.11076,2.00178,25.3869
30.15,3.91458,2.09781,24.7999
30.16,3.74698,2.2097,24.2287
30.17,3.60668,2.33575,23.6735
30.18,3.49236,2.47475,23.1347
30.19,3.40274,2.62589,22.6126
30.2,3.3366,2.78879,22.1075
30.21,3.29282,2.96336,21.6197
30.22,3.2704,3.14982,21.1497
30.23,3.26844,3.34862,20.6979
30.24,3.28621,3.56043,20.2649
30.25,3.32311,3.7861,19.8514
30.26,3.37868,4.02664,19.4581
30.27,3.45262,4.28317,19.0861
30.28,3.54476,4.55693,18.7364
30.29,3.65507,4.84923,18.4103
30.3,3.78365,5.16142,18.1095
30.31,3.93072,5.4949,17.8357
30.32,4.09661,5.85103,17.591
30.33,4.28176,6.23114,17.3778
30.34,4.48667,6.63643,17.1988
30.35,4.71191,7.06796,17.0571
30.36,4.95808,7.52653,16.9564
30.37,5.2258,8.01262,16.9005
30.38,5.51563,8.52627,16.894
30.39,5.82807,9.06693,16.9418
30.4,6.16349,9.63333,17.0492
30.41,6.52206,10.2233,17.222
30.42,6.90365,10.8335,17.4663
30.43,7.30779,11.4592,17.7884
30.44,7.73353,12.0944,18.1945
30.45,8.17934,12.731,18.6905
30.46,8.64298,13.359,19.2819
30.47,9.12137,13.9664,19.9725
30.48,9.61048,14.539,20.765
30.49,10.1052,15.0606,21.6591
30.5,10.5993,15.5131,22.652
30.51,11.0853,15.8775,23.7366
30.52,11.5547,16.1343,24.9016
30.53,11.9979,16.2649,26.1308
30.54,12.4045,16.2526,27.4029
30.55,12.7639,16.0844,28.692
30.56,13.0651,15.7526,29.9681
30.57,13.2981,15.2558,31.1988
30.58,13.4539,14.6,32.3506
30.59,13.5253,13.799,33.3918
30.6,13.5075,12.8737,34.2938
30.61,13.3983,11.8511,35.0341
30.62,13.1988,10.7627,35.5972
30.63,12.9129,9.64158,35.9756
30.64,12.5473,8.52074,36.17
30.65,12.111,7.4304,36.1886
30.66,11.615,6.39648,36.0453
30.67,11.0714,5.43936,35.7588
30.68,10.4928,4.57349,35.3499
30.69,9.89166,3.8074,34.8405
30.7,9.27977,3.14435,34.2518
30.71,8.66797,2.58318,33.6035
30.72,8.06574,2.11928,32.9128
30.73,7.4811,1.74565,32.1944
30.74,6.92057,1.45379,31.4605
30.75,6.38919,1.23447,30.7206
30.76,5.89064,1.07837,29.9819
30.77,5.42737,0.976498,29.2501
30.78,5.00077,0.92049,28.529
30.79,4.61135,0.902816,27.8214
30.8,4.25889,0.916858,27.1289
30.81,3.9426,0.956933,26.4529
30.82,3.66129,1.01827,25.7937
30.83,3.41346,1.09695,25.1518
30.84,3.19741,1.18985,24.5272
30.85,3.01134,1.29454,23.9197
30.86,2.85344,1.4092,23.3294
30.87,2.7219,1.53256,22.7559
30.88,2.61501,1.66383,22.1991
30.89,2.53115,1.8026,21.6589
30.9,2.46883,1.94881,21.1352
30.91,2.42673,2.10271,20.6279
30.92,2.40367,2.26476,20.1371
30.93,2.39864,2.43567,19.6629
30.94,2.41082,2.61632,19.2053
30.95,2.43955,2.80776,18.7648
30.96,2.48433,3.01118,18.3417
30.97,2.54484,3.22789,17.9364
30.98,2.62091,3.45932,17.5496
30.99,2.71255,3.70702,17.182
31,2.81988,3.97263,16.8347
31.01,2.94322,4.25786,16.5087
31.02,3.08298,4.56451,16.2053
31.03,3.23973,4.89445,15.9264
31.04,3.41417,5.24956,15.6738
31.05,3.6071,5.63177,15.4498
31.06,3.81942,6.04295,15.257
31.07,4.05215,6.48491,15.0988
31.08,4.30634,6.95933,14.9786
31.09,4.58312,7.46764,14.9008
31.1,4.88362,8.01098,14.8702
31.11,5.20895,8.58997,14.8921
31.12,5.56015,9.20462,14.973
31.13,5.93812,9.85407,15.1196
31.14,6.34353,10.5364,15.3395
31.15,6.77675,11.2482,15.6411
31.16,7.23771,11.9845,16.0328
31.17,7.72577,12.738,16.5238
31.18,8.23957,13.4993,17.1227
31.19,8.77679,14.2559,17.8377
31.2,9.33405,14.9924,18.6757
31.21,9.90665,15.69,19.6416
31.22,10.4884,16.3269,20.7368
31.23,11.0715,16.8784,21.9587
31.24,11.6463,17.3179,23.2993
31.25,12.2018,17.6178,24.7438
31.26,12.725,17.7516,26.2704
31.27,13.2023,17.6959,27.8494
31.28,13.6189,17.4327,29.4443
31.29,13.9603,16.9521,31.0124
31.3,14.2129,16.2545,32.5078
31.31,14.3651,15.3516,33.8839
31.32,14.4078,14.2667,35.0976
31.33,14.3358,13.0339,36.1124
31.34,14.1478,11.6952,36.9017
31.35,13.847,10.2972,37.4507
31.36,13.4409,8.88751,37.7573
31.37,12.9406,7.51048,37.8311
31.38,12.36,6.20439,37.6913
31.39,11.715,4.99921,37.3642
31.4,11.0225,3.91575,36.8803
31.41,10.2991,2.96572,36.2709
31.42,9.56087,2.15277,35.5664
31.43,8.82202,1.4739,34.7943
31.44,8.09506,0.921218,33.978
31.45,7.39034,0.48351,33.137
31.46,6.71608,0.147738,32.2866
31.47,6.0784,-0.0998074,31.4381
31.48,5.48156,-0.272635,30.6
31.49,4.92817,-0.383457,29.7778
31.5,4.41943,-0.443819,28.975
31.51,3.95537,-0.463922,28.1937
31.52,3.53515,-0.45256,27.4348
31.53,3.15722,-0.417163,26.6984
31.54,2.81953,-0.36388,25.9843
31.55,2.5197,-0.297707,25.2918
31.56,2.25517,-0.22262,24.6202
31.57,2.02325,-0.141709,23.9684
31.58,1.82129,-0.0573149,23.3358
31.59,1.64668,0.0288586,22.7215
31.6,1.49692,0.115632,22.1247
31.61,1.36967,0.202256,21.5448
31.62,1.26274,0.288335,20.981
31.63,1.17415,0.373756,20.4329
31.64,1.1021,0.458629,19.8999
31.65,1.04496,0.543248,19.3815
31.66,1.00131,0.628048,18.8774
31.67,0.969919,0.713577,18.3872
31.68,0.949716,0.800476,17.9105
31.69,0.939799,0.88946,17.4471
31.7,0.939426,0.981309,16.9966
31.71,0.948001,1.07686,16.5589
31.72,0.965068,1.177,16.1338
31.73,0.9903,1.28267,15.7211
31.74,1.0235,1.39488,15.3207
31.75,1.06457,1.51468,14.9326
31.76,1.11355,1.6432,14.5566
31.77,1.17056,1.78163,14.1928
31.78,1.23586,1.93125,13.8414
31.79,1.30977,2.09344,13.5024
31.8,1.39275,2.26966,13.1762
31.81,1.48535,2.46151,12.8631
31.82,1.58822,2.6707,12.5635
31.83,1.70212,2.89907,12.2781
31.84,1.82792,3.14862,12.0076
31.85,1.96661,3.42149,11.7531
31.86,2.11929,3.72001,11.5158
31.87,2.28718,4.04664,11.2972
31.88,2.47165,4.40403,11.0991
31.89,2.67417,4.79498,10.9238
31.9,2.89637,5.22243,10.7739
31.91,3.13999,5.68943,10.6529
31.92,3.4069,6.19908,10.5645
31.93,3.69911,6.75449,10.5135
31.94,4.01869,7.35864,10.5055
31.95,4.36783,8.01426,10.5471
31.96,4.74871,8.72364,10.6459
31.97,5.16353,9.48836,10.811
31.98,5.61434,10.309,11.0529
31.99,6.10302,11.1845,11.3833
32,6.63107,12.1122,11.8156
32.01,7.19945,13.0863,12.3646
32.02,7.80835,14.0982,13.0459
32.03,8.45691,15.1346,13.876
32.04,9.14286,16.1774,14.8709
32.05,9.86213,17.2027,16.0455
32.06,10.6085,18.18,17.4114
32.07,11.373,19.0722,18.9752
32.08,12.1438,19.836,20.7356
32.09,12.9058,20.4232,22.6811
32.1,13.6406,20.7836,24.7869
32.11,14.3269,20.8687,27.0133
32.12,14.9408,20.6369,29.3048
32.13,15.4577,20.0592,31.5916
32.14,15.8533,19.1255,33.7933
32.15,16.1055,17.8482,35.8251
32.16,16.1969,16.2645,37.6062
32.17,16.1165,14.4346,39.0682
32.18,15.8608,12.4364,40.1631
32.19,15.4346,10.3574,40.868
32.2,14.8508,8.28538,41.1861
32.21,14.129,6.29938,41.1448
32.22,13.2937,4.46316,40.7893
32.23,12.3723,2.82137,40.1759
32.24,11.3928,1.39909,39.3647
32.25,10.3822,0.203716,38.4136
32.26,9.36471,-0.771512,37.374
32.27,8.36125,-1.54343,36.2885
32.28,7.38875,-2.135,35.19
32.29,6.46019,-2.57203,34.1028
32.3,5.58481,-2.88064,33.0432
32.31,4.76857,-3.08564,32.0212
32.32,4.01459,-3.20947,31.0422
32.33,3.3237,-3.27177,30.1081
32.34,2.69492,-3.28926,29.2186
32.35,2.1259,-3.27586,28.3718
32.36,1.61333,-3.24295,27.5652
32.37,1.15324,-3.19969,26.796
32.38,0.741243,-3.15333,26.0613
32.39,0.372784,-3.10954,25.3585
32.4,0.0432491,-3.07271,24.6849
32.41,-0.251897,-3.04618,24.0386
32.42,-0.517035,-3.03247,23.4177
32.43,-0.756335,-3.03346,22.8206
32.44,-0.973726,-3.05055,22.2461
32.45,-1.17288,-3.08481,21.6932
32.46,-1.3572,-3.13704,21.1613
32.47,-1.52985,-3.2079,20.6496
32.48,-1.69374,-3.29796,20.158
32.49,-1.85156,-3.40777,19.6862
32.5,-2.00578,-3.53787,19.2343
32.51,-2.15871,-3.68886,18.8024
32.52,-2.3125,-3.86143,18.3909
32.53,-2.46915,-4.05633,18.0004
32.54,-2.63055,-4.27442,17.6315
32.55,-2.79851,-4.51667,17.2853
32.56,-2.97475,-4.78416,16.9629
