t,x,y,z
54.74,6.99556,11.6866,15.6837
54.75,7.47833,12.4412,16.1327
54.76,7.9877,13.2094,16.6871
54.77,8.52193,13.98,17.3558
54.78,9.07819,14.7387,18.1466
54.79,9.65245,15.4679,19.0657
54.8,10.2392,16.1466,20.1164
54.81,10.8313,16.7509,21.2985
54.82,11.4198,17.2541,22.6064
54.83,11.9943,17.6282,24.0285
54.84,12.5423,17.8451,25.546
54.85,13.0501,17.8788,27.1322
54.86,13.503,17.7079,28.7526
54.87,13.8861,17.318,30.3662
54.88,14.1847,16.7046,31.9268
54.89,14.386,15.8742,33.3864
54.9,14.4793,14.8456,34.6987
54.91,14.4575,13.6494,35.8225
54.92,14.3174,12.3255,36.7259
54.93,14.0603,10.9204,37.3884
54.94,13.6921,9.48333,37.8024
54.95,13.2225,8.06165,37.9729
54.96,12.6648,6.69772,37.9161
54.97,12.0346,5.42601,37.6566
54.98,11.3489,4.27174,37.2243
54.99,10.6249,3.25053,36.6517
55,9.87938,2.36917,35.9707
55.01,9.1277,1.62693,35.2107
55.02,8.3834,1.01735,34.3977
55.03,7.65793,0.5299,33.5532
55.04,6.9605,0.151665,32.6943
55.05,6.29817,-0.131377,31.8343
55.06,5.67596,-0.33332,30.9826
55.07,5.09712,-0.467618,30.1458
55.08,4.56335,-0.546624,29.3283
55.09,4.07508,-0.581342,28.5324
55.1,3.63172,-0.581331,27.7594
55.11,3.2319,-0.554715,27.0096
55.12,2.87367,-0.508264,26.2829
55.13,2.55468,-0.447512,25.5784
55.14,2.27234,-0.376898,24.8955
55.15,2.02392,-0.299903,24.2332
55.16,1.80666,-0.219194,23.5906
55.17,1.61786,-0.136753,22.9669
55.18,1.45489,-0.053987,22.361
55.19,1.31528,0.0281629,21.7724
55.2,1.19672,0.109138,21.2004
55.21,1.09709,0.188685,20.6442
55.22,1.01443,0.266795,20.1033
55.23,0.947011,0.34365,19.5773
55.24,0.893273,0.419582,19.0656
55.25,0.851847,0.495042,18.5678
55.26,0.821544,0.570571,18.0836
55.27,0.801339,0.646781,17.6126
55.28,0.79037,0.724344,17.1545
55.29,0.78792,0.80398,16.709
55.3,0.793412,0.886452,16.276
55.31,0.8064,0.972565,15.855
55.32,0.826556,1.06316,15.446
55.33,0.853669,1.15914,15.0487
55.34,0.887632,1.26142,14.6631
55.35,0.928443,1.37101,14.2891
55.36,0.976194,1.48896,13.9265
55.37,1.03107,1.61639,13.5754
55.38,1.09337,1.75451,13.2358
55.39,1.16344,1.9046,12.9079
55.4,1.24177,2.06807,12.5918
55.41,1.32891,2.24643,12.2878
55.42,1.42551,2.44131,11.9963
55.43,1.53234,2.65449,11.7178
55.44,1.65024,2.88789,11.453
55.45,1.78021,3.14359,11.2026
55.46,1.9233,3.42385,10.9678
55.47,2.08074,3.73112,10.7498
55.48,2.25384,4.068,10.5503
55.49,2.44408,4.4373,10.3712
55.5,2.65304,4.84199,10.215
55.51,2.88247,5.28521,10.0844
55.52,3.13424,5.77021,9.98311
55.53,3.41035,6.3003,9.91524
55.54,3.71296,6.8788,9.88586
55.55,4.04429,7.50889,9.90099
55.56,4.40666,8.19347,9.96774
55.57,4.80243,8.93495,10.0945
55.58,5.23392,9.73495,10.2911
55.59,5.70334,10.5939,10.5687
55.6,6.21264,11.5107,10.9404
55.61,6.76338,12.4818,11.4206
55.62,7.35652,13.501,12.0252
55.63,7.99213,14.5581,12.7715
55.64,8.6691,15.6382,13.677
55.65,9.38475,16.7208,14.759
55.66,10.1344,17.7789,16.0329
55.67,10.9108,18.7782,17.5105
55.68,11.7039,19.6773,19.1973
55.69,12.5004,20.4282,21.0897
55.7,13.2833,20.9783,23.1722
55.71,14.032,21.2734,25.4141
55.72,14.7232,21.2627,27.7682
55.73,15.3311,20.9048,30.1701
55.74,15.8292,20.174,32.5405
55.75,16.192,19.0668,34.7907
55.76,16.3975,17.6056,36.8299
55.77,16.4292,15.8397,38.5747
55.78,16.278,13.8418,39.9588
55.79,15.9433,11.7011,40.9406
55.8,15.4338,9.51343,41.5069
55.81,14.7661,7.37061,41.6728
55.82,13.9634,5.35159,41.4773
55.83,13.0534,3.51625,40.9757
55.84,12.066,1.9029,40.2318
55.85,11.0305,0.529076,39.3102
55.86,9.97438,-0.605373,38.2705
55.87,8.92192,-1.51389,37.1636
55.88,7.89322,-2.21866,36.0301
55.89,6.90412,-2.74657,34.9002
55.9,5.96632,-3.12597,33.7951
55.91,5.08771,-3.38445,32.7282
55.92,4.27293,-3.5474,31.7069
55.93,3.52388,-3.63725,30.7345
55.94,2.84031,-3.67326,29.8111
55.95,2.2203,-3.67154,28.9351
55.96,1.66074,-3.64531,28.1038
55.97,1.15767,-3.60525,27.3141
55.98,0.706602,-3.55982,26.5625
55.99,0.302767,-3.51568,25.8461
56,-0.0587132,-3.47796,25.1619
56.01,-0.382678,-3.45059,24.5074
56.02,-0.673832,-3.43653,23.8806
56.03,-0.936678,-3.43801,23.2796
56.04,-1.17547,-3.45668,22.703
56.05,-1.3942,-3.49376,22.1497
56.06,-1.59657,-3.5502,21.6189
56.07,-1.78603,-3.62674,21.1099
56.08,-1.96573,-3.72398,20.6225
56.09,-2.13861,-3.84248,20.1564
56.1,-2.30737,-3.9828,19.7119
56.11,-2.4745,-4.1455,19.2891
56.12,-2.64231,-4.33122,18.8885
56.13,-2.81297,-4.54063,18.5108
56.14,-2.9885,-4.77453,18.157
56.15,-3.1708,-5.03375,17.8283
56.16,-3.36168,-5.31922,17.5259
56.17,-3.56287,-5.63191,17.2518
56.18,-3.77602,-5.9728,17.0079
56.19,-4.00274,-6.3429,16.7967
56.2,-4.24456,-6.74312,16.6209
56.21,-4.50293,-7.17426,16.4838
56.22,-4.77927,-7.63692,16.3892
56.23,-5.07488,-8.13139,16.3412
56.24,-5.39095,-8.6575,16.3446
56.25,-5.72851,-9.21455,16.4048
56.26,-6.08839,-9.80104,16.5274
56.27,-6.47117,-10.4145,16.7189
56.28,-6.87707,-11.0513,16.9859
56.29,-7.30587,-11.7064,17.3354
56.3,-7.75682,-12.3729,17.7742
56.31,-8.22849,-13.0421,18.309
56.32,-8.71865,-13.7029,18.9458
56.33,-9.22411,-14.342,19.6893
56.34,-9.7406,-14.9436,20.5421
56.35,-10.2627,-15.4896,21.5044
56.36,-10.7835,-15.9601,22.5727
56.37,-11.295,-16.3337,23.7392
56.38,-11.7879,-16.5888,24.9912
56.39,-12.2515,-16.7047,26.3102
56.4,-12.6746,-16.6633,27.6722
56.41,-13.0453,-16.4508,29.0478
56.42,-13.3519,-16.0595,30.4033
56.43,-13.5834,-15.4892,31.7024
56.44,-13.7302,-14.7482,32.9083
56.45,-13.7849,-13.8535,33.9862
56.46,-13.7428,-12.8303,34.906
56.47,-13.6024,-11.7101,35.6446
56.48,-13.3655,-10.5287,36.1873
56.49,-13.0373,-9.32337,36.5288
56.5,-12.6259,-8.12993,36.6728
56.51,-12.142,-6.98064,36.631
56.52,-11.598,-5.90222,36.4212
56.53,-11.0075,-4.91479,36.0654
56.54,-10.3841,-4.03164,35.5878
56.55,-9.74133,-3.25957,35.0127
56.56,-9.09171,-2.59976,34.3629
56.57,-8.44643,-2.04884,33.6591
56.58,-7.81514,-1.60013,32.9192
56.59,-7.20581,-1.24472,32.1579
56.6,-6.62475,-0.972521,31.387
56.61,-6.07668,-0.773003,30.6154
56.62,-5.56488,-0.635831,29.85
56.63,-5.09135,-0.551272,29.0955
56.64,-4.65701,-0.510459,28.3553
56.65,-4.26192,-0.50553,27.6313
56.66,-3.90542,-0.529682,26.925
56.67,-3.58631,-0.577153,26.2368
56.68,-3.30301,-0.643169,25.5671
56.69,-3.05369,-0.723861,24.9157
56.7,-2.83636,-0.81617,24.2824
